ativo,preco,moeda,horario_coleta
BTC,116454.225,USD,2025-08-18 17:18:02.905071
GC=F,3378.5,USD,2025-08-18 17:18:03.122781
CL=F,63.34000015258789,USD,2025-08-18 17:18:03.468282
SI=F,38.07500076293945,USD,2025-08-18 17:18:03.680892
BTC,116414.955,USD,2025-08-18 17:19:04.136379
GC=F,3378.10009765625,USD,2025-08-18 17:19:04.459402
CL=F,63.33000183105469,USD,2025-08-18 17:19:04.678220
SI=F,38.07500076293945,USD,2025-08-18 17:19:05.009458
BTC,116401.445,USD,2025-08-18 17:20:05.478701
GC=F,3378.10009765625,USD,2025-08-18 17:20:05.819385
CL=F,63.33000183105469,USD,2025-08-18 17:20:06.041024
SI=F,38.06999969482422,USD,2025-08-18 17:20:06.345682
BTC,116418.715,USD,2025-08-18 17:21:06.713886
GC=F,3378.5,USD,2025-08-18 17:21:07.175419
CL=F,63.310001373291016,USD,2025-08-18 17:21:07.483799
SI=F,38.08000183105469,USD,2025-08-18 17:21:07.785763
BTC,116449.495,USD,2025-08-18 17:22:08.152970
GC=F,3378.10009765625,USD,2025-08-18 17:22:08.407942
CL=F,63.31999969482422,USD,2025-08-18 17:22:08.714748
SI=F,38.08000183105469,USD,2025-08-18 17:22:09.017785
BTC,116428.955,USD,2025-08-18 17:23:09.488385
GC=F,3378.199951171875,USD,2025-08-18 17:23:09.843535
CL=F,63.310001373291016,USD,2025-08-18 17:23:10.149446
SI=F,38.08000183105469,USD,2025-08-18 17:23:10.457910
BTC,116453.005,USD,2025-08-18 17:24:10.857446
GC=F,3378.300048828125,USD,2025-08-18 17:24:11.185578
CL=F,63.31999969482422,USD,2025-08-18 17:24:11.495398
SI=F,38.08000183105469,USD,2025-08-18 17:24:11.897201
BTC,116421.64,USD,2025-08-18 17:25:12.371297
GC=F,3378.199951171875,USD,2025-08-18 17:25:12.655168
CL=F,63.31999969482422,USD,2025-08-18 17:25:13.201706
SI=F,38.08000183105469,USD,2025-08-18 17:25:13.441707
BTC,116462.265,USD,2025-08-18 17:26:13.914269
GC=F,3378.199951171875,USD,2025-08-18 17:26:14.264493
CL=F,63.31999969482422,USD,2025-08-18 17:26:14.575630
SI=F,38.07500076293945,USD,2025-08-18 17:26:14.882585
BTC,116502.475,USD,2025-08-18 17:27:15.351427
GC=F,3378.10009765625,USD,2025-08-18 17:27:15.702442
CL=F,63.31999969482422,USD,2025-08-18 17:27:15.995758
SI=F,38.07500076293945,USD,2025-08-18 17:27:16.325343
BTC,116506.415,USD,2025-08-18 17:28:16.693606
GC=F,3378.10009765625,USD,2025-08-18 17:28:16.934226
CL=F,63.31999969482422,USD,2025-08-18 17:28:17.154184
SI=F,38.06999969482422,USD,2025-08-18 17:28:17.408277
BTC,116542.185,USD,2025-08-18 17:29:17.823405
GC=F,3378.300048828125,USD,2025-08-18 17:29:18.076112
CL=F,63.31999969482422,USD,2025-08-18 17:29:18.318892
SI=F,38.06999969482422,USD,2025-08-18 17:29:18.595065
BTC,116569.195,USD,2025-08-18 17:30:18.958229
GC=F,3378.39990234375,USD,2025-08-18 17:30:19.215292
CL=F,63.31999969482422,USD,2025-08-18 17:30:19.515315
SI=F,38.064998626708984,USD,2025-08-18 17:30:19.819135
BTC,116599.205,USD,2025-08-18 17:31:20.296120
GC=F,3378.39990234375,USD,2025-08-18 17:31:20.653725
CL=F,63.33000183105469,USD,2025-08-18 17:31:20.955744
SI=F,38.064998626708984,USD,2025-08-18 17:31:21.265728
BTC,116567.69,USD,2025-08-18 17:32:21.737020
GC=F,3378.300048828125,USD,2025-08-18 17:32:21.947761
CL=F,63.33000183105469,USD,2025-08-18 17:32:22.185355
SI=F,38.064998626708984,USD,2025-08-18 17:32:22.737696
